%有關安全帽設計與頸部受傷的研究資料
%%Head Measurements for students
%[WDIM CIRCUM FBEYE EYEHD EARHD JAW]
%where
%WDIM: head width at widest dimension
%CIRCUM:head circumference
%FBEYE:front-to-back measurement at eye level
%EYEHD:eye-to-top-of-head measurement
%EARHD:ear-to-top-of-headmeasurement
%JAW:jaw width
15.5	59.69	21.1	10.3	13.4	12.4
15.4	59.7	20	12.8	14.5	11.3
15.1	59.7	20.2	11.4	14.1	12.1
14.3	56.9	18.9	11	13.4	11
14.8	58	20.1	9.6	11.1	11.7
15.2	57.5	18.5	9.9	12.8	11.4
15.4	58	20.8	10.2	12.8	11.9
16.3	58	20.1	8.8	13	12.9
15.5	57	19.6	10.5	13.9	11.8
15	56.5	19.6	10.4	14.5	12
15.5	57.2	20	11.2	13.4	12.4
15.5	56.5	19.8	9.2	12.8	12.2
15.7	57.5	19.8	11.8	12.6	12.5
14.4	57	20.4	10.2	12.7	12.3
14.9	54.8	18.5	11.2	13.8	11.3
16.5	59.8	20.2	9.4	14.3	12.2
15.5	56.1	18.8	9.8	13.8	12.6
15.3	55	19	10.1	14.2	11.6
14.5	55.6	19.3	12	12.6	11.6
15.5	56.5	20	9.9	13.4	11.5
15.2	55	19.3	9.9	14.4	11.9
15.3	56.5	19.3	9.1	12.8	11.7
15.3	56.8	20.2	8.6	14.2	11.5
15.8	55.5	19.2	8.2	13	12.6
14.8	57	20.2	9.8	13.8	10.5
15.2	56.9	19.1	9.6	13	11.2
15.9	58.8	21	8.6	13.5	11.8
15.5	57.3	20.1	9.6	14.1	12.3
16.5	58	19.5	9	13.9	13.3
17.3	62.6	21.5	10.3	13.8	12.8
14.9	56.5	20.4	7.4	13	12
15.4	57.5	19.5	10.5	13.8	11.5
15.3	55.4	19.2	9.7	13.3	11.5
14.6	56	19.8	8.5	12	11.5
16.2	56.5	19.5	11.5	14.5	11.8
14.6	58	19.9	13	13.4	11.5
15.9	56.7	18.7	10.8	12.8	12.6
14.7	55.8	18.7	11.1	13.9	11.2
15.5	58.5	19.4	11.5	13.4	11.9
16.1	60	20.3	10.6	13.7	12.2
15.2	57.8	19.9	10.4	13.5	11.4
15.1	56	19.4	10	13.1	10.9
15.9	59.8	20.5	12	13.6	11.5
16.1	57.7	19.7	10.2	13.6	11.5
15.7	58.7	20.7	11.3	13.6	11.3
15.3	56.9	19.6	10.5	13.5	12.1
15.3	56.9	19.5	9.9	14	12.1
15.2	58	20.6	11	15.1	11.7
16.6	59.3	19.9	12.1	14.6	12.1
15.5	58.2	19.7	11.7	13.8	12.1
15.8	57.5	18.9	11.8	14.7	11.8
16	57.2	19.8	10.8	13.9	12
15.4	57	19.8	11.3	14	11.4
16	59.2	20.8	10.4	13.8	12.2
15.4	57.6	19.6	10.2	13.9	11.7
15.8	60.3	20.8	12.4	13.4	12.1
15.4	55	18.8	10.7	14.2	10.8
15.5	58.4	19.8	13.1	14.5	11.7
15.7	59	20.4	12.1	13	12.7
17.3	61.7	20.7	11.9	13.3	13.3
